Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,7_Day_Moving_Avg,HighVolatility,Above_Moving_Avg,Symbol
2026-04-02 00:00:00-04:00,253.7471740568136,255.6737439434535,250.20349485503917,255.464111328125,31289400,0.0,0.0,0.68,251.88,0,1,AAPL
2026-04-06 00:00:00-04:00,256.053045051996,261.6929736576745,256.003115847535,258.3988342285156,29329900,0.0,0.0,0.92,252.77,0,1,AAPL
2026-04-07 00:00:00-04:00,255.7036812801697,255.7436185540334,245.2623079794448,253.0484161376953,62148000,0.0,0.0,-1.04,252.85,0,1,AAPL
2026-04-08 00:00:00-04:00,257.98960165960847,259.2872736156141,256.0730086009651,258.43878173828125,41032800,0.0,0.0,0.17,254.29,0,1,AAPL
2026-04-09 00:00:00-04:00,258.5386040524215,260.6548225010532,255.6138310165902,260.02593994140625,28121600,0.0,0.0,0.58,256.27,0,1,AAPL
2026-04-10 00:00:00-04:00,259.5168819122501,261.7229364827484,258.5585701252562,260.0159912109375,31291500,0.0,0.0,0.19,257.22,0,1,AAPL
2026-04-13 00:00:00-04:00,259.2673359057164,259.71651601158027,256.2027973984465,258.73828125,36234700,0.0,0.0,-0.2,257.73,0,1,AAPL
2026-04-14 00:00:00-04:00,258.7881616833941,261.4633801130582,256.73183388682423,258.368896484375,48370700,0.0,0.0,-0.16,258.15,0,1,AAPL
2026-04-15 00:00:00-04:00,257.7001261657452,266.08515659729386,257.35074355126085,265.95538330078125,49913500,0.0,0.0,3.2,259.23,1,1,AAPL
2026-04-16 00:00:00-04:00,266.3246925362851,266.6840670491935,260.804545264895,262.9307556152344,43323100,0.0,0.0,-1.27,260.64,0,1,AAPL
2026-04-17 00:00:00-04:00,266.4844323486072,271.8149160854778,266.24486962975914,269.7486267089844,61436200,0.0,0.0,1.22,262.25,0,1,AAPL
2026-04-20 00:00:00-04:00,269.84841238867654,273.7913879220191,269.80850557942483,272.5635681152344,36590200,0.0,0.0,1.01,264.05,0,1,AAPL
2026-04-21 00:00:00-04:00,271.0163536236942,272.3140256362382,264.9272139873882,265.69586181640625,50209800,0.0,0.0,-1.96,264.86,0,1,AAPL
2026-04-22 00:00:00-04:00,267.3429346055621,273.2523721409737,266.39461467279705,272.68341064453125,43249200,0.0,0.0,2.0,266.85,0,1,AAPL
2026-04-23 00:00:00-04:00,274.56001085217736,275.2787294551341,271.1660737405759,272.9429016113281,33399600,0.0,0.0,-0.59,268.93,0,1,AAPL
2026-04-24 00:00:00-04:00,272.2741016414235,272.5735550213531,269.16962610782736,270.5771179199219,38157100,0.0,0.0,-0.62,269.59,0,1,AAPL
2026-04-27 00:00:00-04:00,265.6159889280984,267.88193422863776,264.59781690250213,267.1332702636719,41466800,0.0,0.0,0.57,270.19,0,0,AAPL
2026-04-28 00:00:00-04:00,271.8548539018017,272.7432830913257,268.181416710472,270.2277526855469,40018900,0.0,0.0,-0.6,270.26,0,0,AAPL
2026-04-29 00:00:00-04:00,267.07336249706583,270.5571659728108,266.56429174844374,269.688720703125,30047900,0.0,0.0,0.98,269.85,0,0,AAPL
2026-04-30 00:00:00-04:00,270.018146234023,275.50834883767226,267.6623648300734,270.8666381835937,91848200,0.0,0.0,0.31,270.59,0,1,AAPL
2026-05-01 00:00:00-04:00,278.36321169794013,286.7083346607987,277.87409435408995,279.6409606933594,79915400,0.0,0.0,0.46,271.58,0,1,AAPL
2026-05-04 00:00:00-04:00,279.16182884121525,280.13010214166496,274.3703610857382,276.3368530273437,46668400,0.0,0.0,-1.01,272.07,0,1,AAPL
2026-05-05 00:00:00-04:00,276.43668191704,284.0630869835518,276.00745521106614,283.6737670898437,49311700,0.0,0.0,2.62,273.94,1,1,AAPL
2026-05-06 00:00:00-04:00,281.4177950537395,287.5168959460148,280.5693031693742,286.9978332519531,58336100,0.0,0.0,1.98,276.78,0,1,AAPL
2026-05-07 00:00:00-04:00,288.7546745760609,291.60959552514373,285.2709015174152,286.9279479980469,45224300,0.0,0.0,-0.63,279.16,0,1,AAPL
2026-05-08 00:00:00-04:00,289.49338424193445,294.2349225642168,289.48339230776435,292.7974853515625,52692800,0.0,0.0,1.14,282.46,0,1,AAPL
2026-05-11 00:00:00-04:00,291.72841688276577,293.6267735875138,289.979924827367,292.42779541015625,42247300,0.27,0.0,0.24,285.54,0,1,AAPL
2026-05-12 00:00:00-04:00,292.3078994315659,295.0155556946294,292.3078994315659,294.54595947265625,45748100,0.0,0.0,0.77,287.67,0,1,AAPL
2026-05-13 00:00:00-04:00,293.24708951115105,300.6607090744109,293.24708951115105,298.6124572753906,52684300,0.0,0.0,1.83,290.85,0,1,AAPL
2026-05-14 00:00:00-04:00,299.5616620172475,300.1911240450107,295.12548538387824,297.9530334472656,35324900,0.0,0.0,-0.54,292.89,0,1,AAPL
2026-05-15 00:00:00-04:00,297.643304079477,302.93875555297063,296.26448829773227,299.9713134765625,54862800,0.0,0.0,0.78,294.75,0,1,AAPL
2026-05-18 00:00:00-04:00,299.98126929450746,300.4009207908792,294.6558756451712,297.5833435058594,34483000,0.0,0.0,-0.8,296.27,0,1,AAPL
2026-05-19 00:00:00-04:00,296.7140952726279,300.2510533099592,296.09463441963413,298.7123718261719,42243600,0.0,0.0,0.67,297.12,0,1,AAPL
2026-05-20 00:00:00-04:00,297.9230626302997,302.5390768782648,297.82314269813475,301.98956298828125,38229800,0.0,0.0,1.36,298.48,0,1,AAPL
2026-05-21 00:00:00-04:00,300.80056674721834,305.27671719779084,300.1411318265125,304.7271728515625,42965100,0.0,0.0,1.31,299.94,0,1,AAPL
2026-05-22 00:00:00-04:00,305.85620846339293,311.13165741506583,305.5764509618376,308.55389404296875,43670200,0.0,0.0,0.88,301.36,0,1,AAPL
2026-05-26 00:00:00-04:00,309.2932516306072,311.5513139598484,307.4048960873393,308.0643005371094,48000500,0.0,0.0,-0.4,302.8,0,1,AAPL
2026-05-27 00:00:00-04:00,308.0643052358437,312.9900803339556,308.0343323058515,310.5821533203125,50430900,0.0,0.0,0.82,304.32,0,1,AAPL
2026-05-28 00:00:00-04:00,310.412282475935,312.5304508120942,309.30325358892543,312.24072265625,48220400,0.0,0.0,0.59,306.41,0,1,AAPL
2026-05-29 00:00:00-04:00,311.5113496628706,314.7285763294451,309.2632884033746,311.7911071777344,70026800,0.0,0.0,0.09,308.28,0,1,AAPL
2026-06-01 00:00:00-04:00,309.363197507879,310.6720662449624,304.7571540774977,306.0460510253906,48849900,0.0,0.0,-1.07,308.86,0,0,AAPL
2026-06-02 00:00:00-04:00,307.1950545511415,315.1781903378333,306.42572903356995,314.92840576171875,44534700,0.0,0.0,2.52,310.32,1,1,AAPL
2026-06-03 00:00:00-04:00,313.9092501546009,316.6668815001487,308.5838566628498,309.9926452636719,50836700,0.0,0.0,-1.25,310.52,0,0,AAPL
2026-06-04 00:00:00-04:00,312.96009909963743,313.26982953176514,309.3831669286496,310.9618225097656,44869100,0.0,0.0,-0.64,310.93,0,1,AAPL
2026-06-05 00:00:00-04:00,312.5903972939029,314.8984348439246,306.8853260765596,307.0751647949219,65310500,0.0,0.0,-1.76,310.43,0,0,AAPL
2026-06-08 00:00:00-04:00,308.4739595974908,317.1265012321255,300.9105055796523,301.2801818847656,77949100,0.0,0.0,-2.33,308.87,0,0,AAPL
2026-06-09 00:00:00-04:00,300.0212482417878,300.4908444635933,287.5320194610898,290.29962158203125,70108800,0.0,0.0,-3.24,305.8,0,0,AAPL
2026-06-10 00:00:00-04:00,290.4894628291428,294.4960172141002,287.1323727394638,291.3287353515625,52793300,0.0,0.0,0.29,303.7,0,0,AAPL
2026-06-11 00:00:00-04:00,293.4668864344149,296.7440586571729,289.3404406054596,295.375244140625,42572500,0.0,0.0,0.65,300.9,0,0,AAPL
2026-06-12 00:00:00-04:00,295.7749221682621,296.88398158337014,289.3704417369658,290.879150390625,38742100,0.0,0.0,-1.66,298.17,0,0,AAPL
2026-06-15 00:00:00-04:00,293.8665449684006,297.5233947188816,291.4486474146935,296.1645812988281,45732600,0.0,0.0,0.78,296.06,0,1,AAPL
2026-06-16 00:00:00-04:00,294.99559499590845,300.2210994929347,293.71669913987887,298.9821472167969,39874400,0.0,0.0,1.35,294.9,0,1,AAPL
2026-06-17 00:00:00-04:00,300.59074812548096,301.8096980081642,294.10632015937927,295.6949768066406,42745100,0.0,0.0,-1.63,294.1,0,1,AAPL
2026-06-18 00:00:00-04:00,297.8530937792582,300.31099586682666,295.3652492546472,297.7532043457031,85962200,0.0,0.0,-0.03,295.17,0,1,AAPL
2026-06-22 00:00:00-04:00,297.05381866220307,302.1594314563154,296.5043047694293,296.75408935546875,44879900,0.0,0.0,-0.1,295.94,0,1,AAPL
2026-06-23 00:00:00-04:00,297.2836155142734,301.3800886038737,293.9264950024863,294.04638671875,52010900,0.0,0.0,-1.09,295.75,0,0,AAPL
